,大項目,中項目,小項目,　Output,概要,工数（人日）,不要
0,要件定義,業務要件の整理,現行業務の把握,現行業務フロー図,映画館の現行チケット販売業務の把握・分析,2.0,FALSE
1,要件定義,業務要件の整理,業務要件・課題の洗い出し,業務要件定義書,映画館チケット予約システムの業務要件・課題の整理,3.0,FALSE
2,要件定義,業務要件の整理,新業務フロー作成,業務フロー図,顧客・管理者向け新業務フローの設計（Mermaid形式）,2.0,FALSE
3,要件定義,システム要件の整理,機能概要検討,機能要件定義書,システム機能の概要・優先度・範囲の検討,2.5,FALSE
4,要件定義,システム要件の整理,論理データ・コード検討,データモデル図・コード体系,ER図・データモデル・コード体系の検討,3.0,FALSE
5,要件定義,システム要件の整理,画面/帳票概要検討,画面一覧・画面遷移図・帳票一覧,UI/UX要件・画面遷移・メールテンプレートの検討,2.5,FALSE
6,要件定義,システム要件の整理,バッチ・外部インターフェース検討,外部インターフェース定義書,Stripe決済・SendGridメール・NextAuth認証の連携仕様,3.0,FALSE
7,要件定義,システム要件の整理,非機能要件検討,非機能要件定義書,パフォーマンス・セキュリティ・可用性要件の検討,2.0,FALSE
8,要件定義,運用保守・移行・テスト要件の整理,運用保守方針検討,運用保守計画書,システム運用・保守・監視方針の検討,1.5,FALSE
9,要件定義,運用保守・移行・テスト要件の整理,テスト方針検討,テスト計画書,単体・結合・システム・受入テスト方針の検討,2.0,FALSE
10,基本設計,システム機能設計,プロセスの定義,ユースケース図・ユースケース記述,顧客・管理者向けユースケースの詳細設計,3.0,FALSE
11,基本設計,データ設計,データ論理設計,論理データモデル,データベースの論理設計・正規化・リレーション設計,4.0,FALSE
12,基本設計,データ設計,データ物理設計,物理データモデル,PostgreSQL物理設計・インデックス・パーティション設計,2.0,TRUE
13,基本設計,ユーザーインターフェース設計,画面設計,画面設計書・ワイヤーフレーム,一般ユーザー画面・管理画面の詳細UI設計,8.0,FALSE
14,基本設計,ユーザーインターフェース設計,帳票設計,帳票設計書・メールテンプレート,登録確認・予約確定・キャンセル完了メールの設計,2.0,FALSE
15,基本設計,ユーザーインターフェース設計,API設計,API設計書・Swagger仕様,Server Actions・API Routes・外部連携APIの設計,6.0,FALSE
16,基本設計,外部システム連携設計,外部システム連携設計,外部連携設計書,Stripe決済・SendGridメール・NextAuth認証の連携設計,4.0,FALSE
17,基本設計,システム構成設計,システム構成設計,システム構成図・インフラ設計書,Next.js・PostgreSQL・外部サービスの構成設計,2.5,FALSE
18,基本設計,システム構成設計,アプリケーション方式設計,アプリケーション設計書,Next.js App Router・Prisma ORM・認証方式の設計,3.0,FALSE
19,基本設計,運用保守・移行・テスト設計,運用・保守設計,運用設計書・保守設計書,ログ・監視・バックアップ・デプロイ設計,3.0,FALSE
20,基本設計,運用保守・移行・テスト設計,全体テスト計画の策定,テスト計画書・テストケース,各テストフェーズの計画・テストケース設計,4.0,FALSE
21,実装,詳細設計,詳細設計,詳細設計書・DB設計書,機能別詳細設計・データベース詳細設計,3.0,FALSE
22,実装,実装,実装,ソースコード・設定ファイル,フロントエンド・バックエンド・データベース実装,6.5,FALSE
23,実装,単体テスト,単体テスト,単体テストコード・テスト結果,各機能・API・コンポーネントの単体テスト,2.5,FALSE
24,実装,内部結合テスト,内部結合テスト,結合テスト結果・テストレポート,モジュール間・API間の結合テスト,1.0,FALSE
25,テスト,外部結合テスト,外部結合テスト,外部結合テスト結果・テストレポート,Stripe決済・SendGridメール・NextAuth認証の結合テスト,1.0,FALSE
26,テスト,システムテスト,システムテスト,システムテスト結果・テストレポート,全体システムの機能・性能・セキュリティテスト,12.0,TRUE
27,テスト,運用テスト,運用テスト,運用テスト結果・テストレポート,本番環境での運用テスト・パフォーマンステスト,8.0,TRUE
28,テスト,受入テスト,受入テスト支援,受入テスト結果・テストレポート,顧客・管理者向け受入テストの支援・検証,1.0,FALSE
