本シートは「システム開発タスク」の中項目「アプリ構築」範囲について、開発機能項目別に実装工数を算出するためのシートです,,,,,,利用者,,開発機能,,,,,,
,大項目,中項目,小項目,内容,備考,User,Admin,UI,API,その他,工数(人日),工数算出根拠,工数前提条件,見積実施者
,,,,,合計,,,,,,131.5,,,
1,一般ユーザー機能,認証系,会員登録画面,会員登録フォームとバリデーション,A-001,TRUE,FALSE,TRUE,FALSE,FALSE,2.5,基本的なフォーム実装だが、メール送信連携があるため追加工数,既存のNext.jsとReact Hook Formを使用,
2,一般ユーザー機能,認証系,ログイン画面,ログイン認証フォーム,A-002,TRUE,FALSE,TRUE,FALSE,FALSE,1.5,シンプルなフォーム実装,NextAuth.jsを使用した認証,
3,一般ユーザー機能,認証系,会員情報変更画面,ユーザー情報更新フォーム,A-003,TRUE,FALSE,TRUE,FALSE,FALSE,2,基本フォーム+メール送信連携,既存の認証システムを利用,
4,一般ユーザー機能,映画情報系,上映映画一覧画面,映画リスト表示,B-001,TRUE,FALSE,TRUE,FALSE,FALSE,2,映画データ取得と表示のシンプルな実装,レスポンシブ対応を含む,
5,一般ユーザー機能,映画情報系,映画詳細画面,映画詳細と上映スケジュール表示,B-002,TRUE,FALSE,TRUE,FALSE,FALSE,3,詳細情報表示+上映スケジュール連携,予約フローへの遷移を含む,
6,一般ユーザー機能,予約系,上映回選択画面,日時選択と残席状況表示,C-001,TRUE,FALSE,TRUE,FALSE,FALSE,3,カレンダーUI実装と残席状況の表示,残席データは非同期で取得,
7,一般ユーザー機能,予約系,座席選択画面,座席レイアウト選択UI,C-002,TRUE,FALSE,TRUE,FALSE,FALSE,5,複雑なUI実装と仮予約機能,リアルタイム更新含む（+1日バッファ）,
8,一般ユーザー機能,予約系,予約内容確認画面,予約情報の確認UI,C-003,TRUE,FALSE,TRUE,FALSE,FALSE,2,選択内容の表示と確認,予約フローのステート管理を含む,
9,一般ユーザー機能,予約系,決済画面,Stripe決済フォーム連携,C-004,TRUE,FALSE,TRUE,FALSE,FALSE,4.5,外部API連携とエラーハンドリング,Stripe連携（+1日バッファ）,
10,一般ユーザー機能,予約系,予約完了画面,予約確認と詳細表示,C-005,TRUE,FALSE,TRUE,FALSE,FALSE,1.5,シンプルな完了画面,メール送信トリガー含む,
11,一般ユーザー機能,予約管理系,予約一覧画面,ユーザー予約リスト,D-001,TRUE,FALSE,TRUE,FALSE,FALSE,2.5,予約データ取得と表示,ソート機能含む,
12,一般ユーザー機能,予約管理系,予約詳細画面,予約チケット詳細,D-002,TRUE,FALSE,TRUE,FALSE,FALSE,2.5,詳細表示とキャンセル機能,キャンセル期限制御含む,
13,一般ユーザー機能,予約管理系,キャンセル確認モーダル,キャンセル処理UI,D-003,TRUE,FALSE,TRUE,FALSE,FALSE,1,シンプルなモーダル実装,メール連携を含む,
14,管理者機能,認証系,管理者ログイン画面,管理者認証フォーム,M-001,FALSE,TRUE,TRUE,FALSE,FALSE,2,認証実装,外部認証システム連携,
15,管理者機能,映画管理系,映画一覧画面,映画情報管理UI,M-101,FALSE,TRUE,TRUE,FALSE,FALSE,3,一覧表示と操作メニュー,検索・ソート機能含む,
16,管理者機能,映画管理系,映画登録画面,映画情報登録フォーム,M-102,FALSE,TRUE,TRUE,FALSE,FALSE,3,フォーム実装とバリデーション,複数項目入力と検証,
17,管理者機能,映画管理系,映画編集画面,映画情報編集UI,M-103,FALSE,TRUE,TRUE,FALSE,FALSE,3,編集フォームと整合性チェック,上映情報との整合性検証含む,
18,管理者機能,映画管理系,映画削除確認モーダル,削除確認UI,M-104,FALSE,TRUE,TRUE,FALSE,FALSE,1,シンプルなモーダル実装,依存関係チェック含む,
19,管理者機能,上映管理系,上映情報一覧画面,スケジュール管理UI,M-201,FALSE,TRUE,TRUE,FALSE,FALSE,5,複雑なカレンダー表示実装,複数スクリーン表示（+1日バッファ）,
20,管理者機能,上映管理系,上映情報登録画面,上映スケジュール登録UI,M-202,FALSE,TRUE,TRUE,FALSE,FALSE,4.5,複雑なフォームと重複チェック,時間重複検証（+0.5日バッファ）,
21,管理者機能,上映管理系,上映情報編集画面,上映情報編集UI,M-203,FALSE,TRUE,TRUE,FALSE,FALSE,4,編集フォームと整合性チェック,予約との整合性検証（+0.5日バッファ）,
22,管理者機能,上映管理系,上映情報削除確認モーダル,削除確認UI,M-204,FALSE,TRUE,TRUE,FALSE,FALSE,1.5,モーダル実装と依存関係チェック,予約データとの整合性確認,
23,管理者機能,予約管理系,予約一覧画面,予約情報管理UI,M-301,FALSE,TRUE,TRUE,FALSE,FALSE,4.5,複雑な検索・フィルタ実装,CSV出力機能含む（+0.5日バッファ）,
24,管理者機能,予約管理系,予約詳細画面,予約詳細管理UI,M-302,FALSE,TRUE,TRUE,FALSE,FALSE,3,詳細表示と特別操作機能,管理者特権操作含む,
25,バックエンド,認証系,会員登録API,ユーザー登録処理,AUTH-001,TRUE,FALSE,FALSE,TRUE,FALSE,2.5,ユーザーデータ処理とメール送信,NextAuth.js連携,
26,バックエンド,認証系,ログインAPI,認証処理,AUTH-002/004,TRUE,FALSE,FALSE,TRUE,FALSE,2,認証処理の実装,JWTトークン発行含む,
27,バックエンド,認証系,会員情報更新API,ユーザー情報更新処理,AUTH-003,TRUE,FALSE,FALSE,TRUE,FALSE,2,データ更新とバリデーション,整合性チェック含む,
